quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance,simulation_type
2024Q1,1.630369889756622,310.94953149708124,3.779162796880177,23054.376660704576,28625.179684777802,3002.4608653955993,991.7118059792036,3125.416086241901,3967.15029907018,30060.07829839671,5.33053818025775,310.94953149708124,0.157422896349457,1397.6396370120826,0.23773887260433293,0.2641822385336874,4101.533860803936,-1821.9395129825737,-841.7342128282789,RL-FRB/US Agent
2024Q2,2.214609314955851,313.1645961388046,4.037757065723104,23182.371750908056,28962.7797569311,3054.0957081818297,1395.9935594774693,3154.565524105263,4053.485591267483,29984.456365914113,5.303790014570404,313.1645961388046,0.158002607514334,1068.19020026626,0.337738874094449,0.36418186749477366,4219.948297954342,-1064.2852417427332,-898.9200671622198,RL-FRB/US Agent
2024Q3,0.5371907260555906,315.46386984992574,4.4653865497784135,23213.526053764464,29080.512872730615,2970.1661756124495,1410.8892482946148,3167.86454235922,4119.899715673066,29753.02286139445,4.863853643337783,315.46386984992574,0.158002607514334,696.9007382917364,0.337738874094449,0.36418186749477366,4306.99258586689,-812.1579966372672,-952.0351733138455,RL-FRB/US Agent
2024Q4,1.5784216336055767,317.24639120615166,4.622602420721711,23305.308853934308,29285.320815446183,3000.856795257723,1444.8568860008113,3193.8060962886047,4186.218806582346,29985.841953837185,4.417140254760117,317.24639120615166,0.158002607514334,709.5139068917365,0.337738874094449,0.36418186749477366,4396.646442010224,-862.2929351570538,-992.4127102937409,RL-FRB/US Agent
2025Q1,1.9000709763795767,319.3129002956902,4.6944059650800956,23416.276555700275,29542.24205072524,3030.8320653289475,1471.1106991769134,3225.8819606434436,4264.775866294194,30259.54108992598,4.044665976740388,319.3129002956902,0.158002607514334,799.0906511601763,0.337738874094449,0.36418186749477366,4483.269471117279,-1013.700503789072,-1038.8939056507506,RL-FRB/US Agent
2025Q2,2.1379985619455013,321.57399991311604,4.695238709407241,23541.771556168842,29832.13110414534,3073.6503875685635,1495.1742188005114,3265.742161105273,4343.689193600173,30519.021900441472,3.75429842883474,321.57399991311604,0.158002607514334,735.6082933318719,0.337738874094449,0.36418186749477366,4570.43420266142,-961.0400391013027,-1077.9470324948998,RL-FRB/US Agent
2025Q3,2.16361758715794,323.93932159398133,4.662479665826468,23669.455045112118,30138.1189356687,3117.4835437068614,1519.157956197328,3314.3398750584684,4418.010417552125,30783.681815518077,3.4768014374217375,323.93932159398133,0.158002607514334,745.938667871872,0.337738874094449,0.36418186749477366,4649.844742136328,-980.2219078260589,-1103.6705424936563,RL-FRB/US Agent
2025Q4,2.196096655266999,326.3166160413009,4.6125553274447215,23799.76345774278,30451.19260874322,3167.4294558511465,1542.8239796843561,3370.736693854576,4496.531547327991,31047.83731930315,3.211692883130205,326.3166160413009,0.158002607514334,755.400717981872,0.337738874094449,0.36418186749477366,4721.699634895453,-978.353717773794,-1125.7948534734146,RL-FRB/US Agent
2026Q1,2.2144373700300917,328.6129811841542,4.561865596737856,23931.88655715989,30762.002862835885,3224.369892808944,1561.8416281235036,3432.2356799590125,4574.972712341724,31307.634547324193,3.019685706016543,328.6129811841542,0.158002607514334,764.072822351872,0.337738874094449,0.36418186749477366,4786.790155540119,-962.2119556362386,-1142.7370323827117,RL-FRB/US Agent
2026Q2,2.2335996706242365,330.85810898476683,4.511359882145892,24065.895998108124,31073.321939715566,3289.5909476766997,1576.9063909973327,3498.2828495027984,4650.424738355947,31559.93229990213,2.899766632428851,330.85810898476683,0.158002607514334,772.025943781872,0.337738874094449,0.36418186749477366,4847.820584133551,-934.4361205101397,-1152.1418888531484,RL-FRB/US Agent
2026Q3,2.2490636666242603,333.08203268133656,4.458586812507077,24201.59145597352,31387.540661280706,3360.316160943284,1590.516226019345,3568.4099813154016,4721.972920018502,31801.868685385845,2.789040547911877,333.08203268133656,0.158002607514334,779.3408373118718,0.337738874094449,0.36418186749477366,4905.080677905049,-896.0606870172455,-1153.5629387031004,RL-FRB/US Agent
2026Q4,2.2607519010246744,335.315035633326,4.4012094242279085,24338.763214690298,31707.16810893608,3433.8067827791824,1603.9081627855273,3642.1433326209494,4789.9535714306685,32031.495583999105,2.6863212318154823,335.315035633326,0.158002607514334,786.0908312618719,0.337738874094449,0.36418186749477366,4960.0100343670465,-850.469994970515,-1147.810238809719,RL-FRB/US Agent
2027Q1,2.300788414142187,337.58765467917004,4.33456203707415,24479.162474965673,32037.69829360153,3508.1221971780947,1617.0228143975623,3719.2293273616974,4855.66475676421,32189.159990582688,2.6589935296518274,337.58765467917004,0.158002607514334,619.2004219439709,0.337738874094449,0.36418186749477366,5013.706080644173,-583.9422464043735,-1136.435429402513,RL-FRB/US Agent
