quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,personal_tax_rates,corporate_tax_rates,exports,imports,trade_balance,net_foreign_investment_income,debt_to_gdp,interest_rate,transfer_payments_ratio,federal_expenditures,government_transfer_payments,federal_surplus,ten_year_treasury_bond_rate,simulation_type
2000Q1,-7.146650900833151,169.88407781758724,4.977231324053247,13503.610897667499,9713.846598481212,2133.615255809035,260.0679577253186,0.27139450344548416,0.31446983692319597,1044.487359197829,1327.7643201547473,-329.21416863662563,9.46452485841289,3981.2376156440846,10.155433311009542,0.108373716317443,535.4079255194343,956.7160315419825,1100.7088626261382,7.536738928334469,FRB/US FTPL
2000Q2,14.407626205706947,171.08794603428672,4.331997134685097,13998.864078804132,10131.19636983207,634.5895368427144,189.08236594854353,0.0626988232869316,0.17998944827983665,1083.98764297362,1353.1772848827834,-300.48720811804293,27.213396257303216,3997.895697621527,6.285468750000001,0.108704407637914,555.3758382671568,987.5204156698069,-497.371489327014,6.703155679492911,FRB/US FTPL
2000Q3,2.7917422648592094,172.55056103465517,4.179110707919539,14096.908876843014,10260.698433936543,619.7813331786118,177.09860187885914,0.05900657205353919,0.17803392511830482,1115.675829522471,1480.677091934984,-400.1299484297179,19.148390734905554,4160.3226804983515,6.51142857142857,0.109040066886546,545.8684897087396,998.6819154332417,-517.4840576638177,6.776576040719612,FRB/US FTPL
2000Q4,2.826272469538793,173.71855264781354,3.9178402203064846,14196.865856726237,10372.341590341994,967.570573012515,204.603373395987,0.1026682493710424,0.20550675139419183,1108.048216046983,1518.8880917646995,-432.20846560835633,46.68025528008637,4242.113348706313,6.499677419354841,0.109380760853581,548.978790336726,1011.3317648606998,-167.87161099709607,5.348602323194741,FRB/US FTPL
2001Q1,-2.136808661313694,175.30624689033732,4.281327520988718,14121.228101049228,10376.797470779513,1229.5687266918908,181.69735485853056,0.13083958354600356,0.2236509913117456,1099.3457015474182,1497.493279045916,-421.0874301750592,42.5586029891207,4306.296298098787,5.611774193548388,0.109726546506346,564.9156328864316,1041.5791989303052,32.3820475523746,5.140016598078671,FRB/US FTPL
2001Q2,1.9267425302246006,176.46841174164817,4.5080044865188205,14189.412112411319,10482.300707292214,1269.9155353625308,177.10139786475702,0.1351542314987104,0.22719515510361396,1065.9777847036266,1414.930601470008,-364.0402370080634,49.8142378858094,4170.436566934637,4.33078125,0.110077470842707,577.8517504318283,1061.2748635545804,42.96709720167619,5.382618729208985,FRB/US FTPL
2001Q3,-1.3883711235564533,176.85868248541,4.873185582623862,14140.247060849902,10480.130989583244,1107.729903537071,161.4608880477973,0.13874611010749394,0.23002069926562055,1010.0515896897468,1361.2057431301564,-391.5338033031327,27.150131520592936,4258.183646633207,3.487936507936509,0.110433572317617,583.4899969030452,1064.5065744330138,-142.17503269269864,5.201411830092525,FRB/US FTPL
2001Q4,1.0009300593665666,176.6617691549551,5.607702639377757,14175.674864130293,10533.70433295824,1269.8030962633861,148.1192367171011,0.14435663086772813,0.23330617380044896,966.136648577378,1316.55399796025,-331.38429613651573,89.66659440061981,4337.995898942825,2.153387096774194,0.110794881899888,594.5612870845065,1110.204241943787,2.386378626082586,4.987107409161125,FRB/US FTPL
2002Q1,3.2260968208426277,177.12743710411326,5.774053393656405,14290.467405725689,10646.094874263506,1137.241156377516,151.82885616989546,0.1472725684842381,0.23437291812931252,982.9449168437317,1347.5383222666146,-385.0985372342438,51.93677797239287,4355.797909303204,1.740806451612903,0.111161422276066,619.379773826556,1141.0606096360632,-161.6516782288818,5.316036819642713,FRB/US FTPL
2002Q2,2.3600493775163045,178.4431497006084,5.923291434881684,14375.032153395703,10740.893115671277,1120.1752881629423,158.42324392431374,0.14795031130615327,0.23348427579823267,1018.5237789746717,1421.3633662410805,-430.0928580110401,33.415450134657675,4361.660697368359,1.7565625,0.111533211022401,635.9381362986423,1160.03637878851,-189.00936484540574,5.291028769150824,FRB/US FTPL
2002Q3,1.6021292275482322,179.31416393340882,5.805775384803419,14432.724261934405,10830.805360849821,1115.3112472322139,166.1093086023813,0.14807513012992357,0.2317325466549512,1029.5063783229803,1450.2371166708488,-429.4098373115921,46.02406003396665,4439.103871137053,1.748125,0.111910262128689,643.2665820362987,1170.308497124978,-201.29908468767738,4.489536581933272,FRB/US FTPL
2002Q4,0.4597402653125471,180.30251055996322,5.924591125135154,14449.32205965559,10901.488150908612,1115.0008167280766,183.43097939466216,0.1485381169939918,0.22991072243660712,1015.8178927014465,1484.8732554121966,-465.4542433018231,61.6277283684934,4526.650318424163,1.455483870967742,0.112292586330221,658.6600093014364,1186.2846619068291,-220.1445897383017,4.241408335627538,FRB/US FTPL
2003Q1,2.049686468435396,182.0568422343803,5.951210860528118,14523.553536052557,11006.68086896335,1099.6681710697944,202.3576431333474,0.1487673481085958,0.22777883923916709,1015.7302283633355,1513.2685400852467,-510.2102062092892,46.3106186359046,4590.263078767631,1.255245901639345,0.112680190652636,664.3786410924554,1204.957481333083,-242.41000793483465,4.109260825236271,FRB/US FTPL
2003Q2,3.472372215846775,181.71168399433628,6.228478118152862,14650.180319443038,11137.960648973869,1102.5475534539705,197.58677342837538,0.1486902939748715,0.22541112576340155,1017.6064785873184,1509.8055970770617,-486.185088316932,59.13602476129566,4629.898814830045,1.253749999999999,0.113073078340461,695.03045220689,1221.4416943327283,-297.06858680825206,3.7583893628670033,FRB/US FTPL
2003Q3,6.556662897739329,182.9844796702581,6.175899241962389,14892.300004083463,11382.603319269776,1027.95581992409,216.47696591267285,0.1481519321462381,0.22255464627235738,1046.1713278295733,1537.128698768117,-488.75042756442963,57.361660260028515,4720.28141631131,1.015,0.113471248746759,696.6211828209836,1238.4164379101712,-381.06241332226915,4.362563109942308,FRB/US FTPL
2003Q4,4.565509845955518,183.6270428506843,5.884508958020796,15063.251102608569,11579.266570949021,1096.0311231936935,236.44271814960692,0.14757888540658878,0.21965565136720136,1099.2801861364153,1594.2632182618725,-477.57133055668714,82.28897813257363,4840.459051541706,0.999516129032258,0.11387469748381,717.4056694242188,1239.2228112657378,-318.5110905385231,4.3969339534370775,FRB/US FTPL
2004Q1,2.2072533146804574,185.11288701286858,5.751104510587572,15146.601888796611,11722.528388236266,1083.7976458875105,244.3065188814436,0.147171193813407,0.21701001323512326,1139.7326026569583,1676.124592307026,-514.3851174915408,100.8041083527266,4938.2285883099275,1.003225806451613,0.114283416471711,726.8582598043499,1279.3541179669417,-347.96593498281203,4.107751296970469,FRB/US FTPL
2004Q2,3.0548001417692205,186.4941659673596,5.655641564179088,15262.719322865505,11903.767619919408,1091.421948253485,260.2985457657044,0.14627821840700245,0.21381346778212781,1174.5105447294507,1761.8300045338158,-589.7865621749412,75.95641764255517,4965.959367509989,1.01328125,0.114697392178025,732.5635899503199,1292.3236175964441,-323.9709934939556,4.71912137313107,FRB/US FTPL
2004Q3,3.7217015158006466,187.619842614723,5.5033871399867555,15405.390230891746,12087.774471563034,1126.8960115434563,278.5675429281981,0.1460212621408063,0.21124259931683564,1182.675432041152,1805.2931706771199,-611.6982112232906,84.68127918459805,5043.5590288365975,1.439375,0.115116606946076,744.6103982323136,1298.6204914446541,-295.61251474672616,4.416827784824808,FRB/US FTPL
2004Q4,4.007333461430562,189.58537458338984,5.455439989559504,15560.50225495169,12300.632326608777,1158.5338128879714,281.17602073139943,0.14583075302586138,0.20882053659771907,1222.0752247135254,1891.6694358968819,-689.5266796301017,58.04357546572039,5155.906022079744,1.957142857142858,0.115541038174976,739.3093844591622,1315.9099389974917,-311.90789699858516,4.275388785286355,FRB/US FTPL
2005Q1,4.360649583175302,190.49089983518894,5.342614719234917,15731.065015456608,12531.350984514065,1231.262600888868,353.2104676006815,0.1453987080092322,0.20618953037224744,1257.0766325579673,1923.305512938678,-648.2209454563722,90.49469579916702,5288.925779007982,2.480483870967742,0.115970657036629,751.5651637761003,1356.7955785710442,-242.37627784319088,4.368708449494326,FRB/US FTPL
2005Q2,1.9131534254711369,191.69673508849596,5.175364080674479,15806.485086692153,12679.433507125657,1253.4958474913308,339.27691942363566,0.14522038038762608,0.20381332799626214,1291.4861821919092,1968.5562090681094,-687.2647322585644,77.97286503866981,5226.982055532452,2.94265625,0.116405427815485,752.3355578166821,1370.2787093364002,-245.02651203165948,4.215528031009317,FRB/US FTPL
2005Q3,3.0754823698039497,194.56125708592836,5.026955172890097,15928.48491159894,12890.605703135003,1283.5836564986985,342.45366473850135,0.14491699904567104,0.20125378358863333,1296.9731930998848,2017.9334087370155,-717.7791854181785,86.5367867364675,5296.445203254534,3.462343749999999,0.11684530919439,762.8718514370387,1389.3774233334861,-241.893850525503,4.272085571794741,FRB/US FTPL
