quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,simulation_type
2031Q1,1.857511402438067,376.06234027650885,4.153764485215434,26450.968299632907,37349.88404740764,5675.454161006889,852.3972201241868,5252.464466571133,5739.963659669558,39581.65260248916,2.8872079381101945,376.06234027650885,0.158002607514334,1218.5190323213837,0.137738886015378,0.168083120158519,5882.625173184932,-862.8589507182182,FRB/US
2031Q2,1.843821668574097,378.6243778117535,4.150205127056928,26573.176918164852,37700.70660187167,5718.632737241333,861.3110237005039,5377.0354616129825,5799.4687645367685,39817.440392579585,2.8984884248328937,378.6243778117535,0.158002607514334,1221.9672449997722,0.137738886015378,0.168083120158519,5938.6540339999,-873.2881116307326,FRB/US
2031Q3,1.8322435430765727,381.20452935551066,4.1480552365894345,26695.177452821998,38053.467082725736,5758.424652415527,870.5893497416575,5504.987258082906,5859.363815052302,40057.1065007121,2.907818245265889,381.20452935551066,0.158002607514334,1225.442047069124,0.137738886015378,0.168083120158519,5995.106707462135,-887.652252378488,FRB/US
2031Q4,1.8221423593189001,383.80293224451253,4.147210262785147,26817.060887259966,38408.30052953646,5795.128563308101,880.2651855947698,5636.174444278915,5919.654179091069,40301.60470321119,2.915286088487564,383.80293224451253,0.158002607514334,1228.9588340198925,0.137738886015378,0.168083120158519,6051.979959027346,-905.5488981595745,FRB/US
2032Q1,1.8133236370063546,386.4197226576382,4.147545359032424,26938.906887325356,38765.331468754164,5829.061621802845,890.3693941260718,5770.441172372848,5980.331790331164,40551.77895118354,2.921015771800414,386.4197226576382,0.158002607514334,1232.5324155062876,0.137738886015378,0.168083120158519,6109.272479949016,-926.5712886367601,FRB/US
2032Q2,1.8058005291247337,389.055035245732,4.148877527366656,27060.797548927945,39124.691576356105,5860.5458142667,900.9313330146254,5907.6246481773605,6041.389343912079,40808.36583679976,2.925156624058602,389.055035245732,0.158002607514334,1236.176914982754,0.137738886015378,0.168083120158519,6166.986713378123,-950.3217986165216,FRB/US
2032Q3,1.7996039294102733,391.7090028741499,4.151013823837211,27182.818624132284,39486.52073077327,5889.8972171260875,911.9795610881099,6047.556493760606,6102.826495800629,41071.99920927429,2.9278748387228726,391.7090028741499,0.158002607514334,1239.90568514053,0.137738886015378,0.168083120158519,6225.127327774,-976.4198978883779,FRB/US
2032Q4,1.7947295806940897,394.3817564883154,4.1537696173930385,27305.057172118744,39850.96413860196,5917.422355119069,923.5412014775764,6190.064621357955,6164.649131429809,41343.215324847515,2.929345872945418,394.3817564883154,0.158002607514334,1243.7312271978194,0.137738886015378,0.168083120158519,6283.699227766101,-1004.5041317555997,FRB/US
2033Q1,1.7910476096132275,397.0734250548965,4.156975577186927,27427.592945040964,40218.16008739965,5943.414763258578,935.6400097218998,6334.973631192501,6226.866589013512,41622.45905617026,2.9297479253608816,397.0734250548965,0.158002607514334,1247.6651564136444,0.137738886015378,0.168083120158519,6342.705929520151,-1034.2360419347312,FRB/US
2033Q2,1.7883703330649845,399.7841355923257,4.1604915670476865,27550.494215458115,40588.234020041884,5968.156307599969,948.2956185980546,6482.106409035024,6289.487264479615,41910.08992659933,2.92925649168652,399.7841355923257,0.158002607514334,1251.7181601572875,0.137738886015378,0.168083120158519,6402.149737163494,-1065.2995202934474,FRB/US
2033Q3,1.7865078723184893,402.5140132719855,4.16419657070526,27673.817344571653,40961.29777819838,5991.917002272073,961.5236298919677,6631.286181124254,6352.516108107588,42206.388210701676,2.9280399640029193,402.5140132719855,0.158002607514334,1255.8999586778937,0.137738886015378,0.168083120158519,6462.032717205249,-1097.4010521505572,FRB/US
2033Q4,1.7852863414777935,405.2631815617953,4.167985672128564,27797.607610717274,41337.450364123266,6014.953732739393,975.3358714557677,6782.337935983735,6415.954849745839,42511.56134012613,2.926256215962035,405.2631815617953,0.158002607514334,1260.2192773675633,0.137738886015378,0.168083120158519,6522.357670208085,-1130.2708497127817,FRB/US
2034Q1,1.7845752713788257,408.0317624226411,4.17176926396669,27921.90197824402,41716.78144088182,6037.506162998596,989.7412655045387,6935.090092591918,6479.802620052969,42825.75105518821,2.9240500987131273,408.0317624226411,0.158002607514334,1264.6838241505484,0.137738886015378,0.168083120158519,6583.128848541347,-1163.665611370105,FRB/US
2034Q2,1.7842718741991017,410.8198765268321,4.175469635501171,28046.730843009962,42099.373202748946,6059.805555652045,1004.7460849565899,7089.37537135135,6544.057530623758,43149.03790438772,2.9215517579187753,410.8198765268321,0.158002607514334,1269.3002797424465,0.137738886015378,0.168083120158519,6644.352044596624,-1197.3587005970944,FRB/US
2034Q3,1.784287838099825,413.6276435029969,4.179023402297713,28172.11889744233,42485.30253218078,6082.0600500965975,1020.3543762722318,7245.032764099151,6608.716719255469,43481.449319889216,2.91887567592484,413.6276435029969,0.158002607514334,1274.0743007867081,0.137738886015378,0.168083120158519,6706.034605219718,-1231.1533909347377,FRB/US
2034Q4,1.7845454929181281,416.455182185486,4.182381522549416,28298.085749994625,42874.63977817284,6104.461670615613,1036.567997668396,7401.906196109829,6673.778369885092,43822.965492588824,2.916120335774464,416.455182185486,0.158002607514334,1279.010535343023,0.137738886015378,0.168083120158519,6768.184880886099,-1264.874713540935,FRB/US
2035Q1,1.7849709050574942,419.302610871641,4.185508314518315,28424.64607243841,43267.449756540234,6127.184804605729,1053.3867801975598,7559.846320608999,6739.240700372348,44173.52539760453,2.913368405931646,419.302610871641,0.158002607514334,1284.1126399886787,0.137738886015378,0.168083120158519,6830.812139481471,-1298.370018856657,FRB/US
2035Q2,1.7854980612281541,422.1700475784952,4.18838087007631,28551.81005118158,43663.79222134924,6150.38674154822,1070.8087757634798,7718.711152112073,6805.102109529005,44533.03238290994,2.910687345232988,422.1700475784952,0.158002607514334,1289.3833086616303,0.137738886015378,0.168083120158519,6893.9264443305765,-1331.5073527726945,FRB/US
2035Q3,1.7860719345871368,425.05761029084664,4.190986706642415,28679.58407238835,44063.72245577515,6174.207987096351,1088.8304042334714,7878.365944025455,6871.3612642816015,44901.35948188666,2.908130333852328,425.05761029084664,0.158002607514334,1294.8243067488697,0.137738886015378,0.168083120158519,6957.538547585095,-1364.1744407951019,FRB/US
2035Q4,1.7866487234057158,427.9654172004226,4.193321957357185,28807.971443531475,44467.29209803321,6198.772762987426,1107.4467076750218,8038.683715491117,6938.017654713005,45278.35433380053,2.9057374428571525,427.9654172004226,0.158002607514334,1300.4365107992992,0.137738886015378,0.168083120158519,7021.65980971485,-1396.2772291160697,FRB/US
2036Q1,1.7871966529824186,430.8935869290532,4.195389800179137,28936.973193716996,44874.55029999161,6224.189668565656,1126.6516289407004,8199.545429412537,7005.071393863705,45663.843737363684,2.9035369641889877,430.8935869290532,0.158002607514334,1306.2199503180084,0.137738886015378,0.168083120158519,7086.302134065819,-1427.7385317379008,FRB/US
2036Q2,1.7876936418132967,433.84223874165815,4.19719881860007,29066.588726484057,45285.54444070313,6250.552141186632,1146.438187323583,8360.840068418203,7072.523755477356,46057.637876132074,2.9015468315776074,433.84223874165815,0.158002607514334,1312.1738566418219,0.137738886015378,0.168083120158519,7151.477823634509,-1458.4968104899438,FRB/US
2036Q3,1.7881251513779688,436.81149273942907,4.198761922570402,29196.816334589173,45700.320730183324,6277.93921514978,1166.7987226509413,8522.464576216595,7140.377166149754,46459.53415741622,2.899776073722943,436.81149273942907,0.158002607514334,1318.296712502204,0.137738886015378,0.168083120158519,7217.199437187027,-1488.504745303019,FRB/US
2036Q4,1.7884827495182576,439.8014700311349,4.200095256186965,29327.653622876187,46118.924858437036,6306.416364907513,1187.7249916356377,8684.323742154742,7208.635355324093,46869.320732832726,2.8982262503736993,439.8014700311349,0.158002607514334,1324.5863043462432,0.137738886015378,0.168083120158519,7283.479677738757,-1517.7280569791242,FRB/US
2037Q1,1.7887625402552019,442.8122928932605,4.201217192378545,29459.09782738585,46541.402312398044,6336.036229910074,1209.208327537116,8846.330116671295,7277.303325395528,47286.77968574721,2.896892832102759,442.8122928932605,0.158002607514334,1331.0397779513376,0.137738886015378,0.168083120158519,7350.331266439033,-1546.1442703161808,FRB/US
2037Q2,1.7889644512590006,445.84408490383294,4.202147516508338,29591.146091298233,46967.79869398401,6366.839560962163,1231.2398009366143,9008.403729365915,7346.387284266191,47711.68987931876,2.8957664932015637,445.84408490383294,0.158002607514334,1337.6536927293723,0.137738886015378,0.168083120158519,7417.766849381011,-1573.7414575962828,FRB/US
2037Q3,1.7890915853998022,448.89697106535095,4.202906623418022,29723.795699198836,47398.16007421839,6398.85611169634,1253.810303940684,9170.47191193748,7415.8947137462455,48143.8295136079,2.894834296053697,448.89697106535095,0.158002607514334,1344.4240771954624,0.137738886015378,0.168083120158519,7485.798937432031,-1600.5171641286718,FRB/US
2037Q4,1.7891494438017777,451.9710778994403,4.2035148864289535,29857.0442603559,47832.53318026653,6432.105499147351,1276.9106644733183,9332.468924295385,7485.834096141152,48582.97840688116,2.8940807520817615,451.9710778994403,0.158002607514334,1351.3464844778928,0.137738886015378,0.168083120158519,7554.439844980649,-1626.4773822993775,FRB/US
2038Q1,1.789145317517565,455.0665335331553,4.203992152702725,29990.889851070744,48270.96557517111,6466.598085791211,1300.5317473518794,9494.335693172066,7556.215008064291,49028.92000281383,2.8934887517650947,455.0665335331553,0.158002607514334,1358.4160467813122,0.137738886015378,0.168083120158519,7623.701648689359,-1651.6355405024028,FRB/US
2038Q2,1.789087582966276,458.18346776199843,4.204357330240363,30125.331107487807,48713.50583141453,6502.335889175769,1324.6645024779975,9656.01946399622,7627.047877399319,49481.443159198134,2.893040360768218,458.18346776199843,0.158002607514334,1365.6275286532511,0.137738886015378,0.168083120158519,7693.596165391696,-1676.011690579343,FRB/US
2038Q3,1.788985085233198,461.3220121009373,4.204628097864792,30260.367274594355,49160.2035073624,6539.313341430768,1349.3000404618138,9817.473447507786,7698.344073277149,49940.34370519913,2.892717484733785,461.3220121009373,0.158002607514334,1372.9753800862202,0.137738886015378,0.168083120158519,7764.134918574847,-1699.6316515542849,FRB/US
2038Q4,1.7888466906363962,464.4822998176942,4.204820681486313,30395.998221908478,49611.10914429939,6577.518180137792,1374.4297263375645,9978.656430646493,7770.115508275412,50405.42576892505,2.8925024081297144,464.4822998176942,0.158002607514334,1380.4537861078957,0.137738886015378,0.168083120158519,7835.329125786406,-1722.5261621271989,FRB/US
2039Q1,1.7886809297388935,467.664465959717,4.204949701637552,30532.224432358675,50066.27426507416,6616.932242089426,1400.0451805888613,10139.532512760909,7842.374851269373,50876.50292892756,2.892378215784636,467.664465959717,0.158002607514334,1388.0567152759927,0.137738886015378,0.168083120158519,7907.189701083136,-1744.730222004422,FRB/US
