quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,simulation_type
1996Q3,3.57213717308511,157.3,5.267028663655937,11914.063,8131.408,848.926,205.86,859.577,973.7569999999998,4268.812,5.337343749999998,157.3,0.104440773073,536.5876593137425,0.137738886015378,0.257493021735354,870.127,-170.635,Historical Data
1996Q4,4.132062019747451,158.6666666666667,5.317824788519387,12037.775,8259.771000000002,869.2900000000002,208.645,903.798,992.62,4343.083,5.319516129032256,158.6666666666667,0.104716029106062,535.4015622159657,0.137738886015378,0.256423072221747,863.986,-141.945,Historical Data
1997Q1,2.573476535230412,159.6333333333334,5.218554795252195,12115.472,8362.655000000002,906.948,210.014,918.374,1027.213,4381.251,5.288688524590164,159.6333333333334,0.104994621186455,524.2945666745104,0.137738886015378,0.255328678080382,886.8150000000002,-121.468,Historical Data
1997Q2,6.606020401069657,160.0,4.972335002678186,12317.221,8518.825,921.1460000000002,214.03,954.45,1039.651,4321.557,5.555624999999999,160.0,0.105276683907303,542.9981673362743,0.137738886015378,0.25420893096166,886.2959999999998,-104.023,Historical Data
1997Q3,4.963354527751562,160.8,4.863447952337207,12471.01,8662.823,946.164,226.003,974.057,1070.888,4347.737,5.567656249999999,160.8,0.105562352522833,542.6379467843972,0.137738886015378,0.253061333103756,887.4400000000002,-68.547,Historical Data
1997Q4,3.400942019748499,161.6666666666667,4.691595423069195,12577.495,8765.907,973.4100000000002,215.878,968.33,1085.344,4406.492,5.545161290322579,161.6666666666667,0.105851761197962,543.2325374377599,0.137738886015378,0.251881630775923,908.225,-73.815,Historical Data
1998Q1,3.994995954540315,162.0,4.62048192198099,12703.742,8866.48,1000.896,213.455,963.021,1098.236,4421.163,5.519836065573772,162.0,0.106145041665214,523.1947673363313,0.137738886015378,0.250664513427033,903.957,-24.521,Historical Data
1998Q2,3.685718592768694,162.5333333333333,4.401101615932412,12821.339,8969.699000000002,1027.448,209.941,947.295,1109.626,4350.424,5.511718750000001,162.5333333333333,0.106442324027681,539.1988110989636,0.137738886015378,0.249402613657898,907.9929999999998,-10.363,Historical Data
1998Q3,5.004326030774564,163.3666666666667,4.512506364574442,12982.752,9121.097,1048.789,215.797,935.263,1109.897,4336.375,5.556923076923077,163.3666666666667,0.106743735595892,536.482360891172,0.137738886015378,0.248089232943736,910.077,19.908,Historical Data
1998Q4,6.385544996209802,164.1333333333333,4.419724131266056,13191.67,9293.991,1075.269,211.267,966.337,1145.0,4395.086,4.880645161290323,164.1333333333333,0.107049399899641,541.1874379768467,0.137738886015378,0.246717960853369,917.6809999999998,20.567,Historical Data
