quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance
2024Q1,-4.576100194507903,310.39555755293856,4.537168713788584,22305.079589262008,27658.69663065674,2871.7626965302848,541.7504694915359,2307.2771373367764,2884.0168676564176,28937.34740895183,4.819980112725894,310.39555755293856,0.10000000149011612,1257.6545471322845,0.1472085881866407,0.15707435170562034,2445.702918620921,-368.3330194977086,-576.7397303196412
2024Q2,1.3026853632711797,312.7335690283581,4.6265269626663414,22377.839255409,27928.0837945663,2835.576074249085,563.4359402458152,3106.8646520176694,3836.5724279912024,29067.829615988732,4.2782670942112215,312.7335690283581,0.10000000149011612,1271.6991150817464,0.14362468177196452,0.15601875518682498,2534.694962884371,-483.26743327174745,-729.707775973533
2024Q3,19.440161774254136,315.13763249596445,2.771603898834174,23492.272907778675,29568.295401961113,2968.2074949038206,757.5834047475325,3120.835134627124,4118.201116834587,30654.24749928457,4.514411100398974,315.13763249596445,0.30000001192092896,1277.7416973479005,0.14390776628196258,0.18567798129016078,8339.793894369832,-5875.62179028015,-997.3659822074633
2024Q4,3.346882830771899,317.58919046166807,2.6090744775258914,23689.662267136373,29968.652856506505,3490.53414342876,761.1879482081092,3134.585691521644,4543.110664818692,32149.579245476485,4.796353320278765,317.58919046166807,0.30000001192092896,1293.5494022496805,0.16560862826872677,0.18688195021221396,8421.586783024524,-5538.265726624687,-1408.5249732970483
2025Q1,3.789152200581759,319.94530570984506,2.2656072479414604,23915.137872470215,30401.331418663383,4022.2931051915957,784.0234757344972,3174.365777352616,4607.436810645854,33530.91526559153,5.114705321498658,319.94530570984506,0.30000001192092896,1306.633502466005,0.1868908274533239,0.18888818798816165,8497.724919443819,-5116.059333482684,-1433.071033293238
2025Q2,-18.34028174446755,322.234039379011,4.350061490726994,22843.370360825105,29172.506358317492,4303.390993888189,568.5452058331102,3224.1488094994784,4401.879563450732,33368.813934235026,4.614056489182919,322.234039379011,0.10000000149011612,1329.9677376148675,0.20356548440840588,0.15144407336045076,2672.1320009918604,600.3753009688601,-1177.730753951254
2025Q3,20.99887070718887,324.385807238023,2.228394508375109,24074.61858146869,30976.92702529984,4455.617754472239,798.0630315963832,3265.4760335182077,4251.819645518194,34682.18472396214,4.902060829464926,324.385807238023,0.30000001192092896,1331.357810556441,0.2018565712816184,0.18475800161885877,8681.67636144249,-4864.336258138303,-986.3436119999865
2025Q4,-17.630262541084047,326.5970880545462,4.369302400495281,23036.558598253872,29749.53693004592,4712.479655929628,566.4057128342529,3283.0487542841606,4454.96194998782,34452.75685670712,4.392454954383034,326.5970880545462,0.10000000149011612,1357.0230902317378,0.21716818827170772,0.14917949880343023,2769.961519724887,849.7328416340492,-1171.9131957036593
2026Q1,23.541374946144888,328.74822464635406,1.998714393298632,24433.02976117621,31742.584882697636,4890.922043516241,832.3481715809147,3314.0893925705846,4348.665026672445,35718.317862711716,4.764549857159991,328.74822464635406,0.30000001192092896,1357.0746716426609,0.2151590958153338,0.18746672390732466,8935.042366114812,-4687.262985210715,-1034.57563410186
2026Q2,-1.1113095878502879,331.0249056935324,2.308739409986756,24365.24232032478,31859.50580319699,5356.396811993492,769.5613647179125,3319.132477042152,4829.6100690511175,36941.768127708456,4.9537891304707715,331.0249056935324,0.30000001192092896,1374.9308199723237,0.23287045346115753,0.1815315508990409,9054.471744567543,-4531.297277644608,-1510.4775920089655
2026Q3,-14.414451554899536,333.3005192757464,4.002680977575619,23502.845355608068,30806.43137537885,5608.8959650251,597.4242091049019,3359.2934835285005,4560.002508476631,36521.10548704203,4.491481297566209,333.3005192757464,0.10000000149011612,1397.3437189325075,0.24724955158473033,0.15186740630022486,2901.3274497012344,1558.0097801449765,-1200.7090249481307
2026Q4,-1.3772431692613933,335.5275183787052,4.3527484520343585,23422.06167586249,30888.94280410803,5449.411901992612,582.885236940831,3398.849815718155,4225.54909635494,36160.631871235615,3.9706007885713945,335.5275183787052,0.10000000149011612,1410.3178006985534,0.23949714162421343,0.14597888481820756,2999.3709004664083,1335.0874660559423,-826.6992806367853
