quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,simulation_type
1975Q1,-4.900509496197003,52.55782388520145,8.46220774190911,5957.0338595772555,1616.150962957859,158.45112673256406,37.45850407712096,141.2903984619638,124.54885643824933,415.8906907021085,7.296819743847898,52.55782388520145,0.079767313233618,300.8330889302423,0.137738886015378,0.339522447187866,154.1547565979314,-76.24596845015039,FRB/US
1975Q2,2.3146483458610585,53.19415607655944,9.155372382151233,5991.604884239379,1649.7805304892254,121.35070848899942,40.51063950564114,136.50309577847992,114.60195412507403,438.01369794436215,6.256600874897054,53.19415607655944,0.080223465715188,296.4937860841046,0.137738886015378,0.338299597172296,171.08367358598088,-133.88017060695287,FRB/US
1975Q3,6.440146988018114,54.259727002205,8.850630912397161,6088.852686567131,1705.8498957401239,152.90578034932065,50.81523331591302,133.53083632308528,120.81499124695233,460.94109771603956,6.816092788052409,54.259727002205,0.080673451175151,309.9602585083176,0.137738886015378,0.336963225953858,168.7084155896137,-92.7931510937871,FRB/US
1975Q4,4.830438047513752,55.25832020013568,8.675225165340946,6162.828018350093,1755.290678566125,158.29131148155733,51.47017138888867,141.65320371074222,127.14653708187203,487.6283391437457,5.922257322723173,55.25832020013568,0.081117186904846,311.7439952791715,0.137738886015378,0.335510454449792,172.7725551176285,-94.98176614267079,FRB/US
1976Q1,8.66497298741038,55.891255273315274,8.155932878381668,6297.786349464367,1812.621855786419,161.99390386422107,58.59352095671319,142.50798404875889,137.0068632268184,512.356795287659,5.191752963601043,55.891255273315274,0.081554606076523,306.0221183988424,0.137738886015378,0.333939337737063,175.68430935950818,-86.14568897353418,FRB/US
1976Q2,2.684799936093185,56.38596496638559,7.988944513916488,6340.19926896186,1843.2951128755867,168.51557426712844,57.56204143542761,145.3515738031547,145.08942811072197,529.3111468061165,5.444578877971618,56.38596496638559,0.08198565738034,304.2667906303486,0.137738886015378,0.33224693223097,174.8433748535966,-81.89263023033986,FRB/US
1976Q3,2.055661488351035,57.28174067120725,8.186811662729498,6372.866396423556,1876.8690799429473,174.98803034573322,57.1648807785048,150.3320827751647,153.78523297339572,547.590924901044,5.422443832823089,57.28174067120725,0.082410304437447,304.8962278288016,0.137738886015378,0.330431264756844,185.4448808649755,-86.56984335439928,FRB/US
1976Q4,2.7998701467133458,58.11805731437663,8.198210569377359,6417.630878002715,1924.0326127076162,181.26479011952205,56.153100347571694,154.50359744062618,160.69741681613746,567.1470897880813,4.906185058444235,58.11805731437663,0.082828523256965,305.8617522398428,0.137738886015378,0.328491314263667,184.28374031314846,-90.48434632013978,FRB/US
1977Q1,4.700254971540119,59.18302469344643,7.9614888989468815,6493.486937294628,1978.140837123236,187.0607727453888,60.645901467916474,153.7441307933304,174.47019094853314,585.4238960075784,4.634797298996378,59.18302469344643,0.083240305570793,309.8645565928571,0.137738886015378,0.326426422839522,187.11637758596217,-80.23399499986338,FRB/US
1977Q2,7.732540355181072,60.203519352188195,7.599540343336597,6620.235979708857,2045.2047919832576,193.7156166145848,66.24440501793634,160.22193738543976,181.27916556159676,587.3989835799015,5.046218859323978,60.203519352188195,0.083645655485242,316.2692837756628,0.137738886015378,0.324235758560964,188.7085072734098,-74.55602879052644,FRB/US
